"","y","x1","x2","x3","x4"
"1",1.6,1.36,0.7,3.04,0.44
"2",-0.04,-1.17,1.5,2.88,0.84
"3",1.97,1.23,3.27,2.73,0.84
"4",1.07,-0.28,1.31,2.74,1.45
"5",1.98,-0.9,1.74,3.16,0.98
"6",3.07,-0.16,0.94,2.99,1.38
"7",-2.13,0.56,5.23,2.82,0.33
"8",0.32,-0.9,3.09,3.44,0.34
"9",3.3,1.31,0.27,3.19,1.53
"10",1.16,-0.08,3.29,3.25,1.2
"11",0.75,-0.58,1.68,2.99,1.35
"12",2.27,0.88,0.71,2.79,0.93
"13",-0.98,-1.91,0.5,2.91,1.07
"14",0.02,0.31,4,3.07,1.22
"15",1.63,0.21,0.16,3.25,0.76
"16",3.08,1.17,1.27,2.99,0.55
"17",1.21,0.19,0.5,3.06,1.25
"18",0.85,-1.14,0.11,3.04,0.66
"19",-2.34,-0.43,12.06,2.97,1.49
"20",0.84,-1.72,0.08,2.98,1.24
"21",3.55,0.74,0.3,3.11,1.66
"22",-0.21,-0.12,2.05,2.92,0.75
"23",1.28,-0.02,4.19,3.17,1.08
"24",1.94,-0.19,0.29,2.96,1.91
"25",1.43,-2.05,1.8,2.77,1.69
"26",0.51,1.11,6.53,2.75,1.1
"27",0.24,0.4,3.91,3.37,0.48
"28",1.14,0.75,1.02,3.01,0.63
"29",5.01,1.35,2.57,2.99,1.29
"30",0.97,-0.2,0.2,3.41,0.99
